time,ID,acceleration,velocity,position,collisions
2.600000000000001,5,0.04000000000000001,"Point(-20.353882250830473, -4.919662317611791)","Point(84.06003344188755, 72.58488963393484)",0
2.600000000000001,6,-4.18,"Point(-21.348000000000003, 2.61437598681977e-15)","Point(176.431, 57.5)",0
2.600000000000001,7,-4.12,"Point(-21.704000000000008, 2.6579734128694163e-15)","Point(218.7184, 62.5)",0
2.700000000000001,1,-0.06,"Point(-20.903996923458525, -0.011341253785160254)","Point(61.942920668610654, 68.29025957558251)",0
2.700000000000001,2,0.04000000000000001,"Point(-19.913644424555677, 6.488289584502514)","Point(82.19217143067102, 64.71799551509552)",0
2.700000000000001,3,0.04000000000000001,"Point(-19.906592390660016, 6.5098936544399635)","Point(72.19426303090471, 68.63720477215375)",0
2.700000000000001,4,-0.06,"Point(-20.903996923458525, -0.011341253785160254)","Point(51.84292066861065, 73.79025957558251)",0
2.700000000000001,5,0.04000000000000001,"Point(-19.906592390660023, -6.50989365443996)","Point(82.09426303090473, 71.86279522784626)",0
2.700000000000001,6,-4.18,"Point(-20.930000000000003, 2.5631857506154106e-15)","Point(174.3171, 57.5)",0
2.700000000000001,7,-4.12,"Point(-21.29200000000001, 2.6075179647445453e-15)","Point(216.5686, 62.5)",0
2.800000000000001,1,-0.06,"Point(-20.897996924341573, -0.011337998545841894)","Point(59.85282097622065, 68.28912561296596)",0
2.800000000000001,2,0.04000000000000001,"Point(-19.343855628188123, 8.039524453337771)","Point(80.28812718329308, 65.59090138861625)",0
2.800000000000001,3,0.04000000000000001,"Point(-19.335120716395302, 8.06050934385801)","Point(70.29116707680332, 69.51217617139086)",0
2.800000000000001,4,-0.06,"Point(-20.897996924341573, -0.011337998545841894)","Point(49.75282097622065, 73.78912561296596)",0
2.800000000000001,5,0.04000000000000001,"Point(-19.335120716395306, -8.060509343858007)","Point(80.19116707680334, 70.98782382860915)",0
2.800000000000001,6,0.04000000000000001,"Point(-20.868933570771514, 1.649232433202159)","Point(172.23769155838602, 57.739889084671454)",0
2.800000000000001,7,-4.12,"Point(-20.88000000000001, 2.5570625166196747e-15)","Point(214.46, 62.5)",0
2.9000000000000012,1,-0.06,"Point(-20.89199692522462, -0.011334743306523537)","Point(57.763321283742336, 68.28799197587334)",1
2.9000000000000012,2,0.04000000000000001,"Point(-18.65327218905663, 9.541579567396992)","Point(78.45848288606848, 66.61140457118526)",1
2.9000000000000012,3,0.04000000000000001,"Point(-18.642907834427625, 9.561814235647864)","Point(68.46263118388708, 70.53466406291673)",1
2.9000000000000012,4,-0.06,"Point(-20.89199692522462, -0.011334743306523537)","Point(47.663321283742334, 73.78799197587334)",1
2.9000000000000012,5,0.04000000000000001,"Point(-18.642907834427632, -9.561814235647862)","Point(78.3626311838871, 69.96533593708328)",1
2.9000000000000012,6,0.04000000000000001,"Point(-20.678039537689074, 3.2891526078562645)","Point(170.18325584770915, 58.14294599218656)",1
2.9000000000000012,7,0.04000000000000001,"Point(-20.81939855335779, 1.6413713402042833)","Point(212.38553608246036, 62.73912067000998)",1
